window_id,video_id,context,pred_track_id,trajectory_uid,window_start_sec,window_end_sec,coverage_ratio,observed_ratio,label_status,behavior_label,label_certainty,annotation_note
V4_BREEDING:T1:S0:W000000000,V4_BREEDING,BREEDING_PARENTAL_CARE,1,V4_BREEDING:T1:S0,0.0,5.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T1:S0:W000005000,V4_BREEDING,BREEDING_PARENTAL_CARE,1,V4_BREEDING:T1:S0,5.0,10.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T1:S1:W000015000,V4_BREEDING,BREEDING_PARENTAL_CARE,1,V4_BREEDING:T1:S1,15.0,20.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V4_BREEDING:T1:S1:W000020000,V4_BREEDING,BREEDING_PARENTAL_CARE,1,V4_BREEDING:T1:S1,20.0,25.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V4_BREEDING:T1:S1:W000025000,V4_BREEDING,BREEDING_PARENTAL_CARE,1,V4_BREEDING:T1:S1,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V4_BREEDING:T2:S0:W000075000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,75.0,80.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T2:S0:W000080000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,80.0,85.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T2:S0:W000085000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,85.0,90.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T2:S0:W000090000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,90.0,95.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T2:S0:W000095000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,95.0,100.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V4_BREEDING:T2:S0:W000100000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,100.0,105.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V4_BREEDING:T2:S0:W000105000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,105.0,110.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V4_BREEDING:T2:S0:W000110000,V4_BREEDING,BREEDING_PARENTAL_CARE,2,V4_BREEDING:T2:S0,110.0,115.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T27:S0:W000010000,V3_FEEDING,FEEDING,27,V3_FEEDING:T27:S0,10.0,15.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T27:S0:W000015000,V3_FEEDING,FEEDING,27,V3_FEEDING:T27:S0,15.0,20.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T56:S0:W000020000,V3_FEEDING,FEEDING,56,V3_FEEDING:T56:S0,20.0,25.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T49:S1:W000025000,V3_FEEDING,FEEDING,49,V3_FEEDING:T49:S1,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T56:S0:W000025000,V3_FEEDING,FEEDING,56,V3_FEEDING:T56:S0,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T71:S0:W000025000,V3_FEEDING,FEEDING,71,V3_FEEDING:T71:S0,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T77:S0:W000030000,V3_FEEDING,FEEDING,77,V3_FEEDING:T77:S0,30.0,35.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T82:S0:W000030000,V3_FEEDING,FEEDING,82,V3_FEEDING:T82:S0,30.0,35.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T56:S1:W000035000,V3_FEEDING,FEEDING,56,V3_FEEDING:T56:S1,35.0,40.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V3_FEEDING:T92:S0:W000035000,V3_FEEDING,FEEDING,92,V3_FEEDING:T92:S0,35.0,40.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T92:S0:W000040000,V3_FEEDING,FEEDING,92,V3_FEEDING:T92:S0,40.0,45.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V3_FEEDING:T90:S0:W000045000,V3_FEEDING,FEEDING,90,V3_FEEDING:T90:S0,45.0,50.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T92:S0:W000045000,V3_FEEDING,FEEDING,92,V3_FEEDING:T92:S0,45.0,50.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V3_FEEDING:T90:S2:W000055000,V3_FEEDING,FEEDING,90,V3_FEEDING:T90:S2,55.0,60.0,1.0,0.9577464788732394,LABELED,PAIR_INTERACTION,CERTAIN,
V3_FEEDING:T113:S2:W000055000,V3_FEEDING,FEEDING,113,V3_FEEDING:T113:S2,55.0,60.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T131:S0:W000060000,V3_FEEDING,FEEDING,131,V3_FEEDING:T131:S0,60.0,65.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V3_FEEDING:T133:S1:W000060000,V3_FEEDING,FEEDING,133,V3_FEEDING:T133:S1,60.0,65.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T90:S2:W000065000,V3_FEEDING,FEEDING,90,V3_FEEDING:T90:S2,65.0,70.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T135:S0:W000065000,V3_FEEDING,FEEDING,135,V3_FEEDING:T135:S0,65.0,70.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V3_FEEDING:T90:S2:W000070000,V3_FEEDING,FEEDING,90,V3_FEEDING:T90:S2,70.0,75.0,1.0,0.986013986013986,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T123:S3:W000075000,V3_FEEDING,FEEDING,123,V3_FEEDING:T123:S3,75.0,80.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T135:S2:W000075000,V3_FEEDING,FEEDING,135,V3_FEEDING:T135:S2,75.0,80.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V3_FEEDING:T145:S0:W000075000,V3_FEEDING,FEEDING,145,V3_FEEDING:T145:S0,75.0,80.0,1.0,0.9929577464788732,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T135:S2:W000080000,V3_FEEDING,FEEDING,135,V3_FEEDING:T135:S2,80.0,85.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T145:S0:W000080000,V3_FEEDING,FEEDING,145,V3_FEEDING:T145:S0,80.0,85.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T153:S0:W000080000,V3_FEEDING,FEEDING,153,V3_FEEDING:T153:S0,80.0,85.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V3_FEEDING:T154:S0:W000080000,V3_FEEDING,FEEDING,154,V3_FEEDING:T154:S0,80.0,85.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T123:S3:W000085000,V3_FEEDING,FEEDING,123,V3_FEEDING:T123:S3,85.0,90.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T154:S0:W000085000,V3_FEEDING,FEEDING,154,V3_FEEDING:T154:S0,85.0,90.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T158:S0:W000085000,V3_FEEDING,FEEDING,158,V3_FEEDING:T158:S0,85.0,90.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
