group_window_id,video_id,context,window_start_sec,window_end_sec,active_tracks,mean_distance_5s_px,median_distance_5s_px,mean_distance_last_1s_px,mean_speed_px_s,mean_immobile_ratio,mean_y_norm,std_y_norm_between_tracks,mean_x_norm,std_x_norm_between_tracks
V3_FEEDING:GW000004000,V3_FEEDING,FEEDING,4.0,9.0,1,653.2926200867691,653.2926200867691,317.20229002147454,131.77980913965592,0.09219858156028368,0.7555989097541488,0.0,0.3510137497539252,0.0
V3_FEEDING:GW000007000,V3_FEEDING,FEEDING,7.0,12.0,1,428.81171584845276,428.81171584845276,67.08762185292348,86.49833831561136,0.19148936170212766,0.7282976707942049,0.0,0.5665312580659356,0.0
V3_FEEDING:GW000008000,V3_FEEDING,FEEDING,8.0,13.0,1,418.7130961381785,418.7130961381785,45.999316800266776,84.46128150970848,0.2127659574468085,0.7520449457034258,0.0,0.5857543575931603,0.0
V3_FEEDING:GW000009000,V3_FEEDING,FEEDING,9.0,14.0,1,407.17080953941615,407.17080953941615,12.807076916215498,81.55461197110598,0.2605633802816901,0.775668186018795,0.0,0.6042176805176103,0.0
V3_FEEDING:GW000010000,V3_FEEDING,FEEDING,10.0,15.0,1,320.9423933466029,320.9423933466029,39.83154009549534,64.73933125774818,0.3191489361702128,0.8030300270223841,0.0,0.6188630886480843,0.0
V3_FEEDING:GW000011000,V3_FEEDING,FEEDING,11.0,16.0,1,228.9981854212011,228.9981854212011,59.26364802643684,45.86737977420133,0.34507042253521125,0.7981148926528184,0.0,0.6243416616133044,0.0
V3_FEEDING:GW000012000,V3_FEEDING,FEEDING,12.0,17.0,2,660.2789136488416,660.2789136488416,128.92162242076284,133.18905884475924,0.17375886524822695,0.6049399181430888,0.18250254686449607,0.5311616027019392,0.08739135038684787
V3_FEEDING:GW000013000,V3_FEEDING,FEEDING,13.0,18.0,2,698.4540708434338,698.4540708434338,96.01943257909537,140.88961258484517,0.17375886524822695,0.6084126532637457,0.16806768814163028,0.5244578663312214,0.08794241006105721
V3_FEEDING:GW000014000,V3_FEEDING,FEEDING,14.0,19.0,2,464.4299024925807,464.4299024925807,88.0530792600822,93.68310926440967,0.1950354609929078,0.5007568571489183,0.2598995885378878,0.6636509526783312,0.04271434318851419
V3_FEEDING:GW000015000,V3_FEEDING,FEEDING,15.0,20.0,1,531.6927231025652,531.6927231025652,106.74249058651397,107.25112058068854,0.1702127659574468,0.7377368501654253,0.0,0.6378351935198608,0.0
