frame_index,time_sec,detected_count,expected_count,count_error,error_type,review_priority,review_image_path,suspected_failure_mode,review_note
0,0.0,1,8,-7,UNDERCOUNT,LONG_ERROR_RUN|NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000000_undercount_1_vs_8.jpg,UNREVIEWED,
1,0.0348815729136306,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000001_undercount_1_vs_8.jpg,UNREVIEWED,
2,0.0697631458272612,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000002_undercount_1_vs_8.jpg,UNREVIEWED,
3,0.1046447187408918,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000003_undercount_1_vs_8.jpg,UNREVIEWED,
4,0.1395262916545225,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000004_undercount_1_vs_8.jpg,UNREVIEWED,
5,0.1744078645681531,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000005_undercount_1_vs_8.jpg,UNREVIEWED,
6,0.2092894374817837,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000006_undercount_1_vs_8.jpg,UNREVIEWED,
7,0.2441710103954143,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000007_undercount_1_vs_8.jpg,UNREVIEWED,
8,0.279052583309045,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000008_undercount_1_vs_8.jpg,UNREVIEWED,
9,0.3139341562226756,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000009_undercount_1_vs_8.jpg,UNREVIEWED,
10,0.3488157291363062,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000010_undercount_1_vs_8.jpg,UNREVIEWED,
11,0.3836973020499368,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000011_undercount_1_vs_8.jpg,UNREVIEWED,
12,0.4185788749635675,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000012_undercount_1_vs_8.jpg,UNREVIEWED,
13,0.4534604478771981,1,8,-7,UNDERCOUNT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068/frame_000013_undercount_1_vs_8.jpg,UNREVIEWED,
