frame_index,time_sec,detected_count,expected_count,count_error,error_type,review_priority,review_image_path,suspected_failure_mode,review_note
0,0.0,1,1,0,EXACT,EXACT_CONTROL|NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000000_exact_1_vs_1.jpg,UNREVIEWED,
1,0.0348815729136306,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000001_exact_1_vs_1.jpg,UNREVIEWED,
2,0.0697631458272612,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000002_exact_1_vs_1.jpg,UNREVIEWED,
3,0.1046447187408918,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000003_exact_1_vs_1.jpg,UNREVIEWED,
4,0.1395262916545225,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000004_exact_1_vs_1.jpg,UNREVIEWED,
5,0.1744078645681531,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000005_exact_1_vs_1.jpg,UNREVIEWED,
6,0.2092894374817837,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000006_exact_1_vs_1.jpg,UNREVIEWED,
7,0.2441710103954143,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000007_exact_1_vs_1.jpg,UNREVIEWED,
8,0.279052583309045,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000008_exact_1_vs_1.jpg,UNREVIEWED,
9,0.3139341562226756,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000009_exact_1_vs_1.jpg,UNREVIEWED,
10,0.3488157291363062,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000010_exact_1_vs_1.jpg,UNREVIEWED,
11,0.3836973020499368,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000011_exact_1_vs_1.jpg,UNREVIEWED,
12,0.4185788749635675,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000012_exact_1_vs_1.jpg,UNREVIEWED,
13,0.4534604478771981,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000013_exact_1_vs_1.jpg,UNREVIEWED,
14,0.4883420207908287,1,1,0,EXACT,NEAR_THRESHOLD_CLUSTER,outputs/front/detection/failure_audit/conf068_n1/frame_000014_exact_1_vs_1.jpg,UNREVIEWED,
209,7.2902487389488,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000209_undercount_0_vs_1.jpg,UNREVIEWED,
210,7.325130311862431,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000210_undercount_0_vs_1.jpg,UNREVIEWED,
211,7.360011884776061,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000211_undercount_0_vs_1.jpg,UNREVIEWED,
239,8.336695926357718,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000239_undercount_0_vs_1.jpg,UNREVIEWED,
240,8.37157749927135,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000240_undercount_0_vs_1.jpg,UNREVIEWED,
241,8.40645907218498,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000241_undercount_0_vs_1.jpg,UNREVIEWED,
242,8.441340645098611,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000242_undercount_0_vs_1.jpg,UNREVIEWED,
243,8.476222218012241,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000243_undercount_0_vs_1.jpg,UNREVIEWED,
244,8.511103790925873,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000244_undercount_0_vs_1.jpg,UNREVIEWED,
245,8.545985363839502,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000245_undercount_0_vs_1.jpg,UNREVIEWED,
246,8.580866936753134,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000246_undercount_0_vs_1.jpg,UNREVIEWED,
266,9.278498395025746,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_000266_exact_1_vs_1.jpg,UNREVIEWED,
362,12.627129394734286,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000362_undercount_0_vs_1.jpg,UNREVIEWED,
363,12.662010967647916,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000363_undercount_0_vs_1.jpg,UNREVIEWED,
364,12.696892540561548,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT,outputs/front/detection/failure_audit/conf068_n1/frame_000364_undercount_0_vs_1.jpg,UNREVIEWED,
365,12.731774113475176,0,1,-1,UNDERCOUNT,HEAVIEST_UNDERCOUNT|LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000365_undercount_0_vs_1.jpg,UNREVIEWED,
418,14.5804974778976,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000418_undercount_0_vs_1.jpg,UNREVIEWED,
421,14.685142196638491,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000421_undercount_0_vs_1.jpg,UNREVIEWED,
424,14.789786915379384,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000424_undercount_0_vs_1.jpg,UNREVIEWED,
542,18.9058125191878,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_000542_exact_1_vs_1.jpg,UNREVIEWED,
798,27.83549518507724,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_000798_exact_1_vs_1.jpg,UNREVIEWED,
913,31.84687607014476,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000913_undercount_0_vs_1.jpg,UNREVIEWED,
914,31.88175764305839,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000914_undercount_0_vs_1.jpg,UNREVIEWED,
916,31.95152078888565,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000916_undercount_0_vs_1.jpg,UNREVIEWED,
918,32.02128393471291,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000918_undercount_0_vs_1.jpg,UNREVIEWED,
919,32.056165507626545,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000919_undercount_0_vs_1.jpg,UNREVIEWED,
925,32.265454945108324,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000925_undercount_0_vs_1.jpg,UNREVIEWED,
926,32.30033651802196,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000926_undercount_0_vs_1.jpg,UNREVIEWED,
971,33.87000729913534,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_000971_undercount_0_vs_1.jpg,UNREVIEWED,
1495,52.147951505877785,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_001495_undercount_0_vs_1.jpg,UNREVIEWED,
2020,70.46077728553387,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002020_undercount_0_vs_1.jpg,UNREVIEWED,
2112,73.66988199358788,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_002112_exact_1_vs_1.jpg,UNREVIEWED,
2375,82.84373566987273,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_002375_exact_1_vs_1.jpg,UNREVIEWED,
2600,90.69208957543962,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002600_undercount_0_vs_1.jpg,UNREVIEWED,
2608,90.97114215874866,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002608_undercount_0_vs_1.jpg,UNREVIEWED,
2616,91.25019474205772,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002616_undercount_0_vs_1.jpg,UNREVIEWED,
2653,92.54081293986204,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_002653_exact_1_vs_1.jpg,UNREVIEWED,
2884,100.59845628291072,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002884_undercount_0_vs_1.jpg,UNREVIEWED,
2885,100.63333785582437,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002885_undercount_0_vs_1.jpg,UNREVIEWED,
2886,100.66821942873798,0,1,-1,UNDERCOUNT,LONG_ERROR_RUN,outputs/front/detection/failure_audit/conf068_n1/frame_002886_undercount_0_vs_1.jpg,UNREVIEWED,
2917,101.74954818906052,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_002917_exact_1_vs_1.jpg,UNREVIEWED,
3174,110.7141124278636,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_003174_exact_1_vs_1.jpg,UNREVIEWED,
3430,119.64379509375304,1,1,0,EXACT,EXACT_CONTROL,outputs/front/detection/failure_audit/conf068_n1/frame_003430_exact_1_vs_1.jpg,UNREVIEWED,
