config,count,frames,frame_rate
D025,0,460,0.13407169921305742
D025,1,1143,0.33313902652287963
D025,2,1223,0.3564558437773244
D025,3,498,0.1451471874089187
D025,4,101,0.02943748178373652
D025,5,6,0.0017487612940833576
D010,1,1,0.0002914602156805596
D010,2,16,0.004663363450888954
D010,3,109,0.031769163509181
D010,4,400,0.11658408627222384
D010,5,627,0.18274555523171088
D010,6,778,0.22675604779947536
D010,7,690,0.20110754881958612
D010,8,458,0.1334887787816963
D010,9,241,0.07024191197901486
D010,10,80,0.023316817254444767
D010,11,28,0.00816088603905567
D010,12,3,0.0008743806470416788
