frame_index,time_sec,visibility_state,expected_visible_count,visibility_source
0,0.0,VISIBLE,1.0,MANUAL_INTERVAL
1,0.03488157291363062,VISIBLE,1.0,MANUAL_INTERVAL
2,0.06976314582726124,VISIBLE,1.0,MANUAL_INTERVAL
3,0.10464471874089187,VISIBLE,1.0,MANUAL_INTERVAL
4,0.1395262916545225,VISIBLE,1.0,MANUAL_INTERVAL
5,0.17440786456815313,VISIBLE,1.0,MANUAL_INTERVAL
6,0.20928943748178375,VISIBLE,1.0,MANUAL_INTERVAL
7,0.24417101039541436,VISIBLE,1.0,MANUAL_INTERVAL
8,0.279052583309045,VISIBLE,1.0,MANUAL_INTERVAL
9,0.3139341562226756,VISIBLE,1.0,MANUAL_INTERVAL
10,0.34881572913630626,VISIBLE,1.0,MANUAL_INTERVAL
11,0.38369730204993685,VISIBLE,1.0,MANUAL_INTERVAL
12,0.4185788749635675,VISIBLE,1.0,MANUAL_INTERVAL
13,0.45346044787719814,VISIBLE,1.0,MANUAL_INTERVAL
14,0.4883420207908287,VISIBLE,1.0,MANUAL_INTERVAL
15,0.5232235937044594,VISIBLE,1.0,MANUAL_INTERVAL
16,0.55810516661809,VISIBLE,1.0,MANUAL_INTERVAL
17,0.5929867395317207,VISIBLE,1.0,MANUAL_INTERVAL
18,0.6278683124453512,VISIBLE,1.0,MANUAL_INTERVAL
19,0.6627498853589818,VISIBLE,1.0,MANUAL_INTERVAL
20,0.6976314582726125,VISIBLE,1.0,MANUAL_INTERVAL
21,0.7325130311862431,VISIBLE,1.0,MANUAL_INTERVAL
22,0.7673946040998737,VISIBLE,1.0,MANUAL_INTERVAL
23,0.8022761770135044,VISIBLE,1.0,MANUAL_INTERVAL
24,0.837157749927135,VISIBLE,1.0,MANUAL_INTERVAL
25,0.8720393228407656,VISIBLE,1.0,MANUAL_INTERVAL
26,0.9069208957543963,VISIBLE,1.0,MANUAL_INTERVAL
27,0.9418024686680269,VISIBLE,1.0,MANUAL_INTERVAL
28,0.9766840415816574,VISIBLE,1.0,MANUAL_INTERVAL
29,1.011565614495288,VISIBLE,1.0,MANUAL_INTERVAL
30,1.0464471874089187,VISIBLE,1.0,MANUAL_INTERVAL
31,1.0813287603225494,VISIBLE,1.0,MANUAL_INTERVAL
32,1.11621033323618,VISIBLE,1.0,MANUAL_INTERVAL
33,1.1510919061498106,VISIBLE,1.0,MANUAL_INTERVAL
34,1.1859734790634413,VISIBLE,1.0,MANUAL_INTERVAL
