run_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_frames,duration_sec,middle_frame
1,209,211,7.2902487389488,7.360011884776061,3,0.10464471874089187,210
2,239,246,8.336695926357718,8.580866936753134,8,0.279052583309045,242
3,362,365,12.627129394734286,12.731774113475177,4,0.1395262916545225,363
4,381,382,13.289879280093267,13.324760853006898,2,0.06976314582726124,381
5,387,388,13.499168717575051,13.534050290488683,2,0.06976314582726124,387
6,401,401,13.98751073836588,13.98751073836588,1,0.03488157291363062,401
7,410,410,14.301444894588556,14.301444894588556,1,0.03488157291363062,410
8,412,413,14.371208040415818,14.406089613329447,2,0.06976314582726124,412
9,415,415,14.475852759156709,14.475852759156709,1,0.03488157291363062,415
10,788,788,27.48667945594093,27.48667945594093,1,0.03488157291363062,788
11,2855,2856,99.58689066841544,99.62177224132905,2,0.06976314582726124,2855
12,2884,2886,100.59845628291072,100.66821942873798,3,0.10464471874089187,2885
13,2889,2889,100.77286414747887,100.77286414747887,1,0.03488157291363062,2889
14,2906,2907,101.3658508870106,101.40073245992423,2,0.06976314582726124,2906
15,2950,2950,102.90064009521033,102.90064009521033,1,0.03488157291363062,2950
