trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T101:S0,V3_FEEDING,101,0,22,22,0,0.7383445271261024,1.928686892746713,1.0990667951661077,2.528716725662932
V3_FEEDING:T101:S1,V3_FEEDING,101,1,26,26,0,0.878981579912022,1.8992569936837804,1.2254950319389388,3.9334716796875
V3_FEEDING:T102:S0,V3_FEEDING,102,0,293,293,0,10.266504853372432,4.474652991447684,4.191790864188302,21.989729068454526
V3_FEEDING:T102:S1,V3_FEEDING,102,1,32,31,1,1.0899371590909084,7.0913763548093485,3.8866358972712427,20.455751820550233
V3_FEEDING:T103:S0,V3_FEEDING,103,0,140,140,0,4.8871375843108495,3.6968382552839203,3.147098709031915,14.807591392452105
V3_FEEDING:T104:S0,V3_FEEDING,104,0,144,144,0,5.027774637096776,1.9273607496949432,1.5299822704389314,6.807391050493681
V3_FEEDING:T105:S0,V3_FEEDING,105,0,110,110,0,3.8323596884164246,3.8324041700746325,2.9754870031202216,13.514356716359272
V3_FEEDING:T107:S0,V3_FEEDING,107,0,207,207,0,7.242808218475069,5.233899550913324,4.884035291962495,17.130542965785352
V3_FEEDING:T112:S0,V3_FEEDING,112,0,9,9,0,0.2812741055718533,5.608581786396686,3.5520295987556016,5.057624459491612
V3_FEEDING:T112:S1,V3_FEEDING,112,1,29,29,0,0.9844593695014723,2.5291699137055423,2.00671364494356,4.345786980344982
V3_FEEDING:T112:S2,V3_FEEDING,112,2,103,103,0,3.5862448460410548,3.7438682120727957,3.453391531766628,23.84867157106546
V3_FEEDING:T112:S3,V3_FEEDING,112,3,41,41,0,1.406370527859238,4.214141008169037,3.848053658696192,13.983523511572415
V3_FEEDING:T113:S0,V3_FEEDING,113,0,45,45,0,1.5470075806451646,5.793183708687414,5.3673883932520585,14.939770941440203
V3_FEEDING:T113:S1,V3_FEEDING,113,1,23,23,0,0.7735037903225859,9.533434626593303,6.5599396748567695,18.408372642542254
V3_FEEDING:T113:S2,V3_FEEDING,113,2,329,329,0,11.532238328445743,5.354331386117372,5.063257735691805,25.149264073575456
V3_FEEDING:T114:S0,V3_FEEDING,114,0,6,6,0,0.17579631598241008,5.348348394445265,3.551624811665133,6.343935067905765
V3_FEEDING:T114:S1,V3_FEEDING,114,1,85,85,0,2.9533781085043955,2.539403803892242,1.9820036733105144,7.691372206560762
V3_FEEDING:T115:S0,V3_FEEDING,115,0,22,22,0,0.7383445271261024,3.392206536879349,2.819851099083369,6.827111929216424
V3_FEEDING:T116:S0,V3_FEEDING,116,0,8,8,0,0.24611484237536985,2.0964134360395033,0.5125978140712261,1.4711040031071196
V3_FEEDING:T120:S0,V3_FEEDING,120,0,8,8,0,0.24611484237536985,4.0404864875256346,2.793288859537284,8.005183349809066
V3_FEEDING:T120:S1,V3_FEEDING,120,1,48,48,0,1.6524853702346078,2.623614792749294,2.1319051627492245,7.82192298970159
V3_FEEDING:T120:S2,V3_FEEDING,120,2,147,147,0,5.133252426686212,2.8919107359729197,2.728100524697752,10.26056812762892
V3_FEEDING:T120:S4,V3_FEEDING,120,4,39,39,0,1.3360520014662782,1.4702050117150995,0.9390349874283094,3.137339305130095
V3_FEEDING:T120:S5,V3_FEEDING,120,5,9,9,0,0.2812741055718462,2.6883066806499496,1.9339766162081238,3.8615221049665016
V3_FEEDING:T122:S0,V3_FEEDING,122,0,55,55,0,1.8986002126099706,3.981019731245163,3.7564340152047797,8.860052525897721
V3_FEEDING:T123:S0,V3_FEEDING,123,0,26,26,0,0.878981579912022,2.2713018108172607,1.6228893192706035,6.637512902855932
V3_FEEDING:T123:S1,V3_FEEDING,123,1,25,25,0,0.8438223167155385,2.7710440467570527,2.171341984997486,5.630096800873804
V3_FEEDING:T123:S2,V3_FEEDING,123,2,51,51,0,1.757963159824051,4.67763652603259,3.877342217593441,18.705763343054745
V3_FEEDING:T123:S3,V3_FEEDING,123,3,916,915,1,32.170725824780064,2.7351480308259326,2.286422080658624,16.600987355675862
V3_FEEDING:T123:S4,V3_FEEDING,123,4,52,52,0,1.7931224230205345,1.482669684146164,0.8959763678303312,3.7567147299101618
V3_FEEDING:T125:S0,V3_FEEDING,125,0,18,18,0,0.5977074743401758,2.6000027683808087,1.6864468392916205,4.341286492390677
V3_FEEDING:T126:S0,V3_FEEDING,126,0,37,37,0,1.2657334750733114,1.8033984977556596,1.4295389860329972,4.837504144307636
V3_FEEDING:T128:S0,V3_FEEDING,128,0,129,129,0,4.500385689149553,1.4748682264945983,1.1497123080417895,7.967550599844267
V3_FEEDING:T12:S0,V3_FEEDING,12,0,31,31,0,1.054777895894428,3.6611669538203424,2.69766680525155,6.631195068359375
V3_FEEDING:T12:S1,V3_FEEDING,12,1,5,5,0,0.14063705278592398,3.2506420829829,0.8875582117644636,0.937219139221255
V3_FEEDING:T131:S0,V3_FEEDING,131,0,426,426,0,14.942686858504395,1.1528864440900104,0.8022707112103589,4.066275815882711
