camera,experimental_context,video_id,source_video,track_id,trajectory_segment_no,trajectory_uid,first_frame,last_frame,observed_points,interpolated_points,cleaned_points,segment_start_sec,segment_end_sec,segment_duration_sec,observed_ratio,interpolated_ratio,segment_eligible_individual
top,UNKNOWN,TOP_VIDEO_1,1.mp4,1,1,TOP_VIDEO_1_track_1_seg_01,7,294,288,0,288,0.36174508564194224,15.193293596961574,14.831548511319632,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,3,1,TOP_VIDEO_1_track_3_seg_01,17,43,25,2,27,0.8785237794161455,2.2221483832290736,1.3436246038129283,0.9259259259259259,0.07407407407407407,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,9,1,TOP_VIDEO_1_track_9_seg_01,88,98,11,0,11,4.547652505212988,5.064431198987191,0.5167786937742029,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,13,1,TOP_VIDEO_1_track_13_seg_01,102,115,14,0,14,5.271142676496872,5.942954978403336,0.6718123019064643,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,13,2,TOP_VIDEO_1_track_13_seg_02,123,123,1,0,1,6.356377933422699,6.356377933422699,0.0,1.0,0.0,False
top,UNKNOWN,TOP_VIDEO_1,1.mp4,14,1,TOP_VIDEO_1_track_14_seg_01,110,126,17,0,17,5.684565631516235,6.51141154155496,0.8268459100387249,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,17,1,TOP_VIDEO_1_track_17_seg_01,167,298,132,0,132,8.630204186029193,15.400005074471254,6.769800888442061,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,20,1,TOP_VIDEO_1_track_20_seg_01,193,270,78,0,78,9.973828789842122,13.953024731903486,3.9791959420613647,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,21,1,TOP_VIDEO_1_track_21_seg_01,195,214,18,2,20,10.077184528596963,11.059064046767949,0.9818795181709863,0.9,0.1,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,21,2,TOP_VIDEO_1_track_21_seg_02,220,223,4,0,4,11.36913126303247,11.52416487116473,0.15503360813226053,1.0,0.0,False
top,UNKNOWN,TOP_VIDEO_1,1.mp4,21,3,TOP_VIDEO_1_track_21_seg_03,235,239,4,1,5,12.144299303693774,12.351010781203456,0.20671147750968188,0.8,0.2,False
top,UNKNOWN,TOP_VIDEO_1,1.mp4,22,1,TOP_VIDEO_1_track_22_seg_01,199,211,13,0,13,10.283896006106643,10.904030438635687,0.6201344325290439,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,23,1,TOP_VIDEO_1_track_23_seg_01,254,271,16,2,18,13.12617882186476,14.004702601280906,0.8785237794161453,0.8888888888888888,0.1111111111111111,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,24,1,TOP_VIDEO_1_track_24_seg_01,274,337,64,0,64,14.159736209413166,17.415441980190646,3.25570577077748,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,25,1,TOP_VIDEO_1_track_25_seg_01,275,296,22,0,22,14.211414078790588,15.296649335716413,1.0852352569258255,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,25,2,TOP_VIDEO_1_track_25_seg_02,302,364,63,0,63,15.606716551980936,18.810744453380995,3.2040279014000586,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,25,3,TOP_VIDEO_1_track_25_seg_03,369,396,24,4,28,19.069133800268098,20.464436273458446,1.3953024731903483,0.8571428571428571,0.14285714285714285,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,25,4,TOP_VIDEO_1_track_25_seg_04,402,405,4,0,4,20.774503489722967,20.929537097855228,0.15503360813226053,1.0,0.0,False
top,UNKNOWN,TOP_VIDEO_1,1.mp4,26,1,TOP_VIDEO_1_track_26_seg_01,304,339,35,1,36,15.710072290735777,17.51879771894549,1.808725428209712,0.9722222222222222,0.027777777777777776,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,27,1,TOP_VIDEO_1_track_27_seg_01,309,325,17,0,17,15.968461637622879,16.795307547661604,0.8268459100387258,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,27,2,TOP_VIDEO_1_track_27_seg_02,332,334,3,0,3,17.157052633303547,17.260408372058386,0.10335573875483917,1.0,0.0,False
top,UNKNOWN,TOP_VIDEO_1,1.mp4,29,1,TOP_VIDEO_1_track_29_seg_01,345,380,36,0,36,17.82886493521001,19.637590363419722,1.808725428209712,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,30,1,TOP_VIDEO_1_track_30_seg_01,384,492,105,4,109,19.8443018409294,25.425511733690797,5.581209892761397,0.963302752293578,0.03669724770642202,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,31,1,TOP_VIDEO_1_track_31_seg_01,390,414,22,3,25,20.154369057193925,21.394637922252013,1.2402688650580878,0.88,0.12,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,32,1,TOP_VIDEO_1_track_32_seg_01,420,455,34,2,36,21.704705138516534,23.513430566726246,1.808725428209712,0.9444444444444444,0.05555555555555555,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,33,1,TOP_VIDEO_1_track_33_seg_01,426,655,228,2,230,22.014772354781055,33.84900444221031,11.834232087429253,0.991304347826087,0.008695652173913044,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,33,2,TOP_VIDEO_1_track_33_seg_02,661,832,171,1,172,34.15907165847483,42.995987322013704,8.836915663538875,0.9941860465116279,0.005813953488372093,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,33,3,TOP_VIDEO_1_track_33_seg_03,838,850,10,3,13,43.306054538278225,43.92618897080727,0.6201344325290421,0.7692307692307693,0.23076923076923078,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,33,4,TOP_VIDEO_1_track_33_seg_04,858,1118,261,0,261,44.33961192582663,57.775857963955914,13.436246038129283,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,38,1,TOP_VIDEO_1_track_38_seg_01,491,733,243,0,243,25.373833864313376,37.879878253649096,12.50604438933572,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,39,1,TOP_VIDEO_1_track_39_seg_01,492,524,33,0,33,25.425511733690797,27.079203553768245,1.653691820077448,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,39,2,TOP_VIDEO_1_track_39_seg_02,529,537,9,0,9,27.33759290065535,27.751015855674712,0.41342295501936377,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,44,1,TOP_VIDEO_1_track_44_seg_01,585,594,10,0,10,30.231553585790888,30.69665441018767,0.4651008243967816,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,48,1,TOP_VIDEO_1_track_48_seg_01,659,670,11,1,12,34.05571591971999,34.624172482871614,0.5684565631516278,0.9166666666666666,0.08333333333333333,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,51,1,TOP_VIDEO_1_track_51_seg_01,713,741,29,0,29,36.84632086610068,38.29330120866845,1.4469803425677696,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,54,1,TOP_VIDEO_1_track_54_seg_01,720,735,10,6,16,37.208065951742626,37.98323399240393,0.7751680406613062,0.625,0.375,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,55,1,TOP_VIDEO_1_track_55_seg_01,740,817,78,0,78,38.24162333929104,42.2208192813524,3.9791959420613594,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,55,2,TOP_VIDEO_1_track_55_seg_02,822,828,5,2,7,42.479208628239505,42.789275844504026,0.31006721626452105,0.7142857142857143,0.2857142857142857,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,56,1,TOP_VIDEO_1_track_56_seg_01,740,928,187,2,189,38.24162333929104,47.957062782246055,9.715439442955017,0.9894179894179894,0.010582010582010581,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,56,2,TOP_VIDEO_1_track_56_seg_02,941,954,14,0,14,48.62887508415252,49.30068738605898,0.6718123019064635,1.0,0.0,True
top,UNKNOWN,TOP_VIDEO_1,1.mp4,62,1,TOP_VIDEO_1_track_62_seg_01,803,805,3,0,3,41.49732911006851,41.600684848823356,0.10335573875484272,1.0,0.0,False
